185462
'AS-IS' 184549
'Effective 160578
'Effective 160597
'Our 147151
'Poca' 26903
'Rithmetic 60555
'Riting 60553
'Slack 55810
'Stonewall' 78363
'arf 91417
'art 64129
'bushwhackers 55351
'eave 91416
'order 152699
'probable 155192
'theatre 154985
--Almost 9899
--Almost 841
--Bill 140444
--Bill 2528
--Brigade 831
--Brigade 9889
--Burnside's 2279
--Burnside's 126133
--Diminution 1303
--Diminution 56682
--Dishonest 1339
--Dishonest 56718
--Foiled 2978
--Foiled 163373
--Gauley 29077
--Gauley 1002
--General 112246
--Greene's 108355
--His 2997
--His 1656
--His 163392
--His 81027
--I 96855
--I 126694
--I'm 127068
--J 181990
--Lack 1376
--Lack 56755
--Lightburn 131004
--Lightburn 2320
--List 140474
--List 2558
--Opinions 56765
--Opinions 1386
--Porter 82561
--Reading 60552
--Referring 182095
--Schenck's 43935
--Sewell 37067
--Sewell 1113
--The 543
--The 724
--The 128945
--The 3299
--The 838
--The 9896
--Wheeling 142261
--Yet 51048
--Your 126386
--Your 181735
--Your 129101
--a 113484
--a 12677
--a 114669
--a 11511
--a 131571
--a 91233
--a 53585
--all 172531
--an 4770
--and 102992
--and 119265
--and 54179
--at 102969
--but 162461
--every 146793
--ferocious-looking 31495
--four 67274
--he 8513
--he 4824
--his 123570
--it 94583
--it 4857
--misgivings 8252
--neither 83648
--of 11508
--of 81275
--of 81293
--on 160975
--one 6552
--rifles 162455
--the 56816
--the 3898
--the 3752
--the 4799
--the 27944
--they 62095
--they 11232
--this 65075
--to 172497
--to 180070
--to 172475
--viz 18795
--wagon-master's 43121
--whether 46093
--with 14659
10-pounder 69437
10-pounder 69433
10th 173853
10th 166294
10th 90122
10th 181557
10th 32507
10th 22838
10th 47835
10th 174312
10th 131764
10th 137118
10th 36684
10th 181617
10th 37341
10th 36586
10th 71773
10th 18803
10th 136038
10th 18819
10th 181661
10th 17568
10th 19193
11th 136825
11th 19335
11th 174643
11th 153981
11th 49545
11th 176621
11th 76353
11th 23514
11th 170988
11th 136933
11th 177112
11th 166403
11th 18820
11th 19996
11th 70747
11th 172922
11th 69311
11th 134425
11th 69336
11th 132166
11th 68971
11th 90126
11th 161100
12--Sumter 3294
12--Sumter 719
12th 173076
12th 36701
12th 20254
12th 167043
12th 70690
12th 93543
12th 69312
12th 42074
12th 20926
12th 20863
12th 125245
12th 49797
12th 139438
12th 19746
12th 20480
12th 49637
12th 181533
12th 144265
12th 90271
12th 49685
12th 167694
12th 176392
12th 68983
12th 66104
12th 166611
13th 99899
13th 177775
13th 167602
13th 93853
13th 136979
13th 21021
13th 125303
13th 181534
13th 181585
13th 20491
13th 18804
13th 99813
13th 33110
13th 134816
13th 76526
13th 176828
13th 20302
13th 180121
13th 166742
13th 75546
13th 49729
13th 136082
13th 92726
13th 167246
13th 93357
13th 171218
13th 18821
13th 49672
13th 171112
13th 17307
13th 177829
13th 24384
13th 71849
14th 127623
14th 21060
14th 163972
14th 129719
14th 142593
14th 75563
14th 180123
14th 87373
14th 167650
14th 94321
14th 181535
14th 18805
14th 167512
14th 176530
14th 177777
14th 76987
14th 177733
14th 32668
14th 93729
14th 99882
14th 72016
14th 20682
14th 99938
14th 167872
14th 167297
14th 93941
14th 42076
14th 18822
14th 76793
15th 100222
15th 102601
15th 33252
15th 118930
15th 38083
15th 18806
15th 18823
15th 73576
15th 127771
15th 136601
15th 157898
15th 128517
15th 130229
15th 128467
15th 72018
15th 77005
15th 136138
15th 158790
15th 99601
15th 181536
15th 17314
15th 177911
15th 72178
15th 101455
163--Lincoln's 118854
163--Lincoln's 2165
16th 18807
16th 24699
16th 104328
16th 130169
16th 72362
16th 181664
16th 177837
16th 39726
16th 130247
16th 130273
16th 102936
16th 102221
16th 128803
16th 103528
16th 104175
16th 101935
16th 143022
16th 3174
16th 153886
16th 181588
16th 118022
16th 167908
16th 176739
16th 161142
16th 167697
16th 154029
16th 181537
16th 175909
17th 18808
17th 181558
17th 104936
17th 181591
17th 111516
17th 108832
17th 104314
17th 98596
17th 177804
17th 178103
17th 76981
17th 25362
17th 177763
17th 117532
17th 25308
17th 33503
17th 23404
17th 103653
17th 72247
17th 17326
17th 177352
17th 101411
1861--Entrance 56730
1861--Entrance 1351
1861--NOVEMBER 165
1862--An 140429
1862--An 2513
1862-63--PROMOTIONS 140353
1862-63--PROMOTIONS 2437
18th 136852
18th 178689
18th 117406
18th 181592
18th 164800
18th 159229
18th 158814
18th 171542
18th 168007
18th 118579
18th 126829
18th 18809
18th 73461
18th 23422
18th 118439
19th 154106
19th 117304
19th 34929
19th 111165
19th 33545
19th 178119
19th 178697
19th 50568
19th 17341
19th 55427
19th 74711
19th 18810
19th 133352
19th 181322
19th 181618
1st 162474
1st 86724
1st 42005
1st 181540
1st 50616
1st 80900
1st 47841
1st 49155
1st 18217
1st 133442
1st 138889
1st 122512
1st 87814
1st 144604
1st 44722
1st 81714
1st 18826
1st 16786
1st 158960
1st 67982
1st 136370
1st 47393
1st 83102
1st 71237
1st 69396
1st 163257
1st 127478
1st 173421
2--Lee 2221
2--Lee 118910
20-pounder 69429
20th 168454
20th 28835
20th 176407
20th 145136
20th 136997
20th 44013
20th 77051
20th 136116
20th 181595
20th 43843
20th 181538
20th 178126
20th 69855
20th 39861
20th 33561
20th 12228
20th 173150
20th 137609
20th 18811
20th 74713
20th--Ruinous 3202
20th--Ruinous 175937
21st 143532
21st 145458
21st 18642
21st 125656
21st 39909
21st 77526
21st 125267
21st 159284
21st 126374
21st 153562
22d 123083
22d 77608
22d 181641
22d 178837
22d 159364
22d 21141
22d 21893
22d 137175
22d 18813
23d 40924
23d 18648
23d 68661
23d 74729
23d 17457
23d 137328
23d 69313
23d 157694
23d 26034
23d 5764
23d 16323
23d 17386
23d 85014
24th 171577
24th 148168
24th 77613
24th 41069
24th 16604
24th 33851
24th 170626
24th 137749
24th 26061
24th 137457
24th 120610
24th 161629
25th 143990
25th 133605
25th 34061
25th 18976
25th 35049
25th 85850
25th 44071
25th 85923
26th 41422
26th 69084
26th 16416
26th 34101
26th 171698
26th 75379
26th 181571
26th 77844
26th 77909
26th 77678
26th 27258
26th 181599
27th 86504
27th 78135
27th 16638
27th 81333
27th 181600
27th 87300
27th 143168
27th 144475
27th 137773
27th 78174
27th 127804
27th 158607
27th 179448
28th 34245
28th 85384
28th 84027
28th 181619
28th 171826
28th 69314
28th 137802
28th 159395
28th 35804
28th 78634
29th 79638
29th 138347
29th 181572
29th 84119
29th 9907
29th 137179
29th 138169
29th 67736
29th 181601
29th 28610
2d 169106
2d 138686
2d 35327
2d 159511
2d 69329
2d 21820
2d 83226
2d 22887
2d 42133
